1,AMA,AMAZONAS,VE-X,1,6/5/22 13:08,\N,\N
2,ANZ,ANZOÁTEGUI,VE-B,1,6/5/22 13:08,\N,\N
3,APU,APURE,VE-C,1,6/5/22 13:08,\N,\N
4,ARA,ARAGUA,VE-D,1,6/5/22 13:08,\N,\N
5,BAR,BARINAS,VE-E,1,6/5/22 13:08,\N,\N
6,BOL,BOLÍVAR,VE-F,1,6/5/22 13:08,\N,\N
7,CAR,CARABOBO,VE-G,1,6/5/22 13:08,\N,\N
8,COJ,COJEDES,VE-H,1,6/5/22 13:08,\N,\N
9,DEL,DELTA AMACURO,VE-Y,1,6/5/22 13:08,\N,\N
10,FAL,FALCÓN,VE-I,1,6/5/22 13:08,\N,\N
11,GUA,GUÁRICO,VE-J,1,6/5/22 13:08,\N,\N
12,LAR,LARA,VE-K,1,6/5/22 13:08,\N,\N
13,MER,MÉRIDA,VE-L,1,6/5/22 13:08,\N,\N
14,MIR,MIRANDA,VE-M,1,6/5/22 13:08,\N,\N
15,MON,MONAGAS,VE-N,1,6/5/22 13:08,\N,\N
16,NUE,NUEVA ESPARTA,VE-O,1,6/5/22 13:08,\N,\N
17,POR,PORTUGUESA,VE-P,1,6/5/22 13:08,\N,\N
18,SUC,SUCRE,VE-R,1,6/5/22 13:08,\N,\N
19,TAC,TÁCHIRA,VE-S,1,6/5/22 13:08,\N,\N
20,TRU,TRUJILLO,VE-T,1,6/5/22 13:08,\N,\N
21,LGR,LA GUAIRA,VE-W,1,6/5/22 13:08,\N,\N
22,YAR,YARACUY,VE-U,1,6/5/22 13:08,\N,\N
23,ZUL,ZULIA,VE-V,1,6/5/22 13:08,\N,\N
24,DIS,DISTRITO CAPITAL,VE-A,1,6/5/22 13:08,\N,\N
25,DEP,DEPENDENCIAS FEDERALES,VE-Z,0,6/5/22 13:08,\N,9/29/24 12:34
